feature,importance,model
sex_male,7879,LightGBM
region_northwest,6001,LightGBM
has_children,4954,LightGBM
region_southwest,4350,LightGBM
region_southeast,4034,LightGBM
large_family,2659,LightGBM
age_bmi_children,2642,LightGBM
bmi_very_obese,2638,LightGBM
bmi_children,2611,LightGBM
bmi_overweight,2524,LightGBM
age_group_middle,2467,LightGBM
children,2249,LightGBM
moderate_risk,2072,LightGBM
ultra_high_risk,1805,LightGBM
age_group_young,1794,LightGBM
age_group_adult,1751,LightGBM
bmi_log,1681,LightGBM
bmi_squared,1645,LightGBM
bmi_sqrt,1609,LightGBM
bmi,1590,LightGBM
bmi_cubed,1574,LightGBM
bmi_normal,1552,LightGBM
smoker_bmi,1451,LightGBM
smoker_bmi_cubed,1415,LightGBM
smoker_yes,1397,LightGBM
smoker_bmi_squared,1392,LightGBM
smoker_age,1318,LightGBM
bmi_obese,1311,LightGBM
age_bmi_squared,1262,LightGBM
smoker_age_bmi_squared,1224,LightGBM
smoker_age_cubed,1176,LightGBM
smoker_children,1163,LightGBM
smoker_age_squared,1149,LightGBM
age_children,1146,LightGBM
age_squared,1121,LightGBM
age,1119,LightGBM
age_sqrt,1114,LightGBM
age_cubed,1104,LightGBM
age_group_senior,1040,LightGBM
smoker_age_squared_bmi,1033,LightGBM
age_log,1023,LightGBM
age_squared_bmi,1016,LightGBM
risk_score_3,1009,LightGBM
age_bmi,987,LightGBM
smoker_age_bmi,973,LightGBM
smoker_very_obese,960,LightGBM
children_squared,954,LightGBM
risk_score_2,953,LightGBM
risk_score_1,921,LightGBM
smoker_middle_obese,824,LightGBM
nonsmoker_bmi,761,LightGBM
smoker_obese,695,LightGBM
nonsmoker_age,644,LightGBM
smoker_senior,593,LightGBM
health_index,524,LightGBM
nonsmoker_age_bmi,456,LightGBM
family_size,446,LightGBM
bmi_underweight,211,LightGBM
