feature,shap_importance
risk_score_2,1682.7587010213085
risk_score_1,1407.2354819844106
smoker_age_squared,981.2431683933413
smoker_age_cubed,877.6114233192218
smoker_bmi_cubed,835.8059594969883
smoker_age_squared_bmi,828.7198454887625
risk_score_3,818.1787437988913
nonsmoker_bmi,776.4623564087836
smoker_age_bmi,750.0343827887616
smoker_age_bmi_squared,614.3603423767001
smoker_bmi,585.3169910932899
nonsmoker_age,530.3274194913869
age_log,495.6669179152444
age_cubed,476.5758775767422
age_sqrt,421.91845043772014
age_bmi_squared,362.21945838755414
age_squared,352.2864223198959
age,312.4732056602911
age_squared_bmi,281.14874844811453
smoker_age,279.81724354929526
age_bmi_children,257.2369422678844
age_children,239.90295504692443
age_bmi,224.7348545251328
nonsmoker_age_bmi,204.78606881660005
smoker_yes,179.60770808611755
smoker_bmi_squared,171.04853298576907
bmi_children,167.879674611037
bmi,156.65463080853002
region_southeast,154.97250254179272
health_index,151.78212226455557
bmi_log,144.4516917462248
bmi_squared,137.36501405025965
region_southwest,120.40367030352859
bmi_cubed,103.76814145581498
bmi_sqrt,99.22335923377808
moderate_risk,97.98987927704653
smoker_children,90.08154226808587
smoker_middle_obese,82.6585929352641
children_squared,76.40806496292373
age_group_young,74.08137721072947
sex_male,69.31029600119444
family_size,64.88907573536189
ultra_high_risk,64.86437545804006
bmi_obese,49.080710513837396
smoker_very_obese,47.155189281559174
region_northwest,35.26869282050051
has_children,34.79829829051149
age_group_senior,34.30578940857454
children,31.64296498998955
age_group_middle,24.14432772265632
bmi_overweight,21.13879384766584
age_group_adult,20.32353197870899
smoker_obese,20.026092884784283
large_family,19.62816211882853
smoker_senior,6.21624599047692
bmi_very_obese,5.782104246863055
bmi_normal,5.032985096147654
bmi_underweight,0.2791842028897087
